scenario,time_period,season,Median,75th Percentile
rcp4p5,early,DJF,0.0% (0.0 weeks),100.0% (1.5 weeks)
rcp4p5,early,JJA,0.0% (0.0 weeks),100.0% (1.0 weeks)
rcp4p5,early,MAM,0.0% (0.0 weeks),100.0% (1.0 weeks)
rcp4p5,early,SON,0.0% (0.0 weeks),100.0% (1.0 weeks)
rcp4p5,mid,DJF,0.0% (0.0 weeks),100.0% (2.0 weeks)
rcp4p5,mid,JJA,0.0% (0.0 weeks),100.0% (1.0 weeks)
rcp4p5,mid,MAM,0.0% (0.0 weeks),100.0% (2.0 weeks)
rcp4p5,mid,SON,0.0% (0.0 weeks),100.0% (2.0 weeks)
rcp4p5,end,DJF,0.0% (0.0 weeks),100.0% (2.0 weeks)
rcp4p5,end,JJA,0.0% (0.0 weeks),100.0% (1.0 weeks)
rcp4p5,end,MAM,0.0% (0.0 weeks),100.0% (2.0 weeks)
rcp4p5,end,SON,0.0% (0.0 weeks),100.0% (2.0 weeks)
rcp8p5,early,DJF,0.0% (0.0 weeks),100.0% (2.0 weeks)
rcp8p5,early,JJA,0.0% (0.0 weeks),100.0% (1.0 weeks)
rcp8p5,early,MAM,0.0% (0.0 weeks),100.0% (1.0 weeks)
rcp8p5,early,SON,0.0% (0.0 weeks),100.0% (1.5 weeks)
rcp8p5,mid,DJF,0.0% (0.0 weeks),133.0% (2.0 weeks)
rcp8p5,mid,JJA,0.0% (0.0 weeks),100.0% (1.5 weeks)
rcp8p5,mid,MAM,0.0% (0.0 weeks),100.0% (2.0 weeks)
rcp8p5,mid,SON,0.0% (0.0 weeks),117.0% (2.0 weeks)
rcp8p5,end,DJF,33.0% (1.0 weeks),200.0% (3.0 weeks)
rcp8p5,end,JJA,20.0% (0.5 weeks),200.0% (2.0 weeks)
rcp8p5,end,MAM,33.0% (1.0 weeks),200.0% (3.0 weeks)
rcp8p5,end,SON,50.0% (1.0 weeks),200.0% (3.0 weeks)
