scenario,time_period,season,Median,75th Percentile
rcp4p5,early,DJF,20.0% (0.0 cfs/week),140.0% (0.105 cfs/week)
rcp4p5,early,JJA,11.0% (0.0 cfs/week),125.0% (0.05 cfs/week)
rcp4p5,early,MAM,16.0% (0.0 cfs/week),108.0% (0.08 cfs/week)
rcp4p5,early,SON,20.0% (0.0 cfs/week),132.0% (0.095 cfs/week)
rcp4p5,mid,DJF,33.0% (0.0 cfs/week),180.0% (0.15 cfs/week)
rcp4p5,mid,JJA,13.0% (0.0 cfs/week),129.0% (0.05 cfs/week)
rcp4p5,mid,MAM,24.0% (0.0 cfs/week),138.0% (0.07 cfs/week)
rcp4p5,mid,SON,30.0% (0.0 cfs/week),148.0% (0.125 cfs/week)
rcp4p5,end,DJF,45.0% (0.005 cfs/week),200.0% (0.19 cfs/week)
rcp4p5,end,JJA,12.0% (0.0 cfs/week),127.0% (0.05 cfs/week)
rcp4p5,end,MAM,30.0% (0.0 cfs/week),150.0% (0.09 cfs/week)
rcp4p5,end,SON,33.0% (0.0 cfs/week),150.0% (0.13 cfs/week)
rcp8p5,early,DJF,23.0% (0.0 cfs/week),145.0% (0.1 cfs/week)
rcp8p5,early,JJA,15.0% (0.0 cfs/week),132.0% (0.06 cfs/week)
rcp8p5,early,MAM,17.0% (0.0 cfs/week),111.0% (0.09 cfs/week)
rcp8p5,early,SON,25.0% (0.0 cfs/week),138.0% (0.09 cfs/week)
rcp8p5,mid,DJF,38.0% (0.0 cfs/week),186.0% (0.17 cfs/week)
rcp8p5,mid,JJA,15.0% (0.0 cfs/week),133.0% (0.055 cfs/week)
rcp8p5,mid,MAM,32.0% (0.0 cfs/week),150.0% (0.115 cfs/week)
rcp8p5,mid,SON,33.0% (0.005 cfs/week),150.0% (0.13 cfs/week)
rcp8p5,end,DJF,53.0% (0.01 cfs/week),215.0% (0.245 cfs/week)
rcp8p5,end,JJA,21.0% (0.0 cfs/week),160.0% (0.07 cfs/week)
rcp8p5,end,MAM,50.0% (0.01 cfs/week),195.0% (0.15 cfs/week)
rcp8p5,end,SON,40.0% (0.01 cfs/week),170.0% (0.16 cfs/week)
