scenario,time_period,season,Median,75th Percentile
rcp4p5,early,DJF,41.0% (0.1 cfs),184.0% (1.27 cfs)
rcp4p5,early,JJA,42.0% (0.12 cfs),184.0% (3.9 cfs)
rcp4p5,early,MAM,36.0% (0.08 cfs),167.0% (1.865 cfs)
rcp4p5,early,SON,49.0% (0.22 cfs),200.0% (4.27 cfs)
rcp4p5,mid,DJF,50.0% (0.12 cfs),201.0% (1.4512 cfs)
rcp4p5,mid,JJA,58.0% (0.23 cfs),220.0% (7.35 cfs)
rcp4p5,mid,MAM,43.0% (0.1 cfs),187.0% (2.32 cfs)
rcp4p5,mid,SON,58.0% (0.33 cfs),216.0% (5.77 cfs)
rcp4p5,end,DJF,62.0% (0.155 cfs),227.0% (1.525 cfs)
rcp4p5,end,JJA,69.0% (0.27 cfs),244.0% (7.8 cfs)
rcp4p5,end,MAM,51.0% (0.13 cfs),202.0% (2.54 cfs)
rcp4p5,end,SON,66.0% (0.39 cfs),229.0% (6.23 cfs)
rcp8p5,early,DJF,45.0% (0.11 cfs),192.0% (1.32 cfs)
rcp8p5,early,JJA,48.0% (0.15 cfs),190.0% (4.67 cfs)
rcp8p5,early,MAM,42.0% (0.11 cfs),180.0% (2.235 cfs)
rcp8p5,early,SON,45.0% (0.215 cfs),191.0% (4.235 cfs)
rcp8p5,mid,DJF,61.0% (0.16 cfs),225.0% (1.67 cfs)
rcp8p5,mid,JJA,70.0% (0.295 cfs),244.0% (8.23 cfs)
rcp8p5,mid,MAM,51.0% (0.135 cfs),203.0% (2.6 cfs)
rcp8p5,mid,SON,61.0% (0.36 cfs),227.0% (5.9425 cfs)
rcp8p5,end,DJF,91.0% (0.265 cfs),284.0% (2.185 cfs)
rcp8p5,end,JJA,100.0% (0.595 cfs),322.0% (14.3925 cfs)
rcp8p5,end,MAM,69.0% (0.19 cfs),245.0% (3.02 cfs)
rcp8p5,end,SON,92.0% (0.745 cfs),286.0% (10.79 cfs)
