station_name	wmo_reg	sub_reg	river	station	country	lat	long	area
1104150	1	1041	OUED CHELIF	SIDI BELATAR	DZ	36.02	0.27	43750
1104200	1	1041	OUED MINA	OUED EL-ABTAL	DZ	35.5	0.68	6635
1104300	1	1041	OUED GHIOU	AMMI MOUSSA	DZ	35.87	1.12	2398
1104450	1	1040	OUED MAZAFRAN	FER A CHEVAL	DZ	36.67	2.82	1912
1104480	1	1040	OUED BOU DOUAOU	KEDDARA	DZ	36.65	3.42	829
1104500	1	1040	OUED ISSER	LAKHDARIA	DZ	36.62	3.58	4149
1104530	1	1040	OUED SEBAOU	BAGHLIA	DZ	36.8	3.87	2501
1104600	1	1040	OUED BOU SELLAM	SIDI YAHIA	DZ	36.42	4.6	4309
1104700	1	1040	OUED RHUMEL	OUED ATHMANIA	DZ	36.23	6.3	1220
1104800	1	1040	OUED EL MELAH	BOUCHEGOUF	DZ	36.45	7.72	552
1107700	1	1071	OUED TAFNA	PIERRE DU CHAT	DZ	35.15	-1.45	7245
1107800	1	1071	OUED ISSER	BENSEKRANE	DZ	35.07	-1.22	1118
1112100	1	1121	SENEGAL FLEUVE	KAYES	ML	14.45	-11.28	157400
1112110	1	1121	KOLINBINE	KABATE	ML	14.49434	-11.2024	25000
1112200	1	1121	FALEME RIVIERE	GOURBASSY	ML	13.25208	-11.52292	15000
1112300	1	1121	SENEGAL FLEUVE	GALOUGO	ML	13.84792	-11.05625	127000
1112320	1	1121	BAKOYE	OUALIA	ML	13.59792	-10.37292	84400
1112330	1	1121	BAOULE	SIRAMAKANA	ML	13.5724	-9.8854	58000
1112340	1	1121	BAKOYE	TOUKOTO	ML	13.45	-9.88	16000
1112350	1	1121	BAFING	DIBIA	ML	13.22708	-10.79375	33000
1112400	1	1121	FALEME RIVIERE	FADOUGOU	ML	12.53542	-11.38542	9300
1112480	1	1121	BAFING	DAKA SAYDOU	ML	11.92708	-10.63542	15500
1112500	1	1121	BAFING	BAFING MAKANA	ML	12.4354	-10.3146	21700
1134020	1	1341	SANKARANI	GUELELINKORO	ML	11.15	-8.55	23300
1134030	1	1341	RIVER NIGER	BANANKORO	ML	11.6833	-8.6667	71750
1134040	1	1341	SANKARANI	GOUALA	ML	11.97	-8.23	35300
1134050	1	1341	SANKARANI	SELINGUE	ML	11.58	-8.17	34200
1134060	1	1341	OUASSOULOU	YANFOLILA	ML	11.13	-8.2	4100
1134080	1	1341	BAOULE	MADINA DIASSA	ML	10.8	-7.67	7900
1134100	1	1341	RIVER NIGER	KOULIKORO	ML	12.8667	-7.55	120000
1134110	1	1341	BAOULE	BOUGOUNI	ML	11.4	-7.45	15700
1134150	1	1341	BANIFING	KOLONDIEBA	ML	11.07	-6.85	3050
1134200	1	1341	BAOULE	DIOILA	ML	12.52	-6.8	32500
1134220	1	1341	BAGOE	PANKOUROU	ML	11.42	-6.57	31800
1134250	1	1341	RIVER NIGER	KIRANGO AVAL	ML	13.7167	-6.05	137000
1134300	1	1341	BANI	DOUNA	ML	13.2167	-5.9	101600
1134310	1	1341	BANIFING	KOUORO 2	ML	12.02	-5.68	14300
1134320	1	1341	BANIFING	KOUORO 1	ML	12.02	-5.68	-999
1134350	1	1341	LOTIO	KLELA	ML	11.68	-5.58	3685
1134400	1	1341	RIVER NIGER	KE-MACINA	ML	13.95	-5.37	141000
1134420	1	1341	DIAKA	KARA	ML	14.17	-5.02	-999
1134450	1	1341	BANI	BENENY-KEGNY	ML	13.38	-4.92	116000
1134460	1	1341	RIVER NIGER	TILEMBEYA	ML	14.15	-4.98	143300
1134480	1	1341	BANI	SOFARA	ML	14.02	-4.25	129000
1134500	1	1341	RIVER NIGER	NANTAKA (MOPTI)	ML	14.53	-4.22	281600
1134505	1	1341	BANI	MOPTI	ML	14.53	-4.22	-999
1134600	1	1341	RIVER NIGER	AKKA	ML	15.4	-4.23	-999
1134620	1	1341	TASSAKAN	GOUNDAM	ML	16.42	-3.65	-999
1134630	1	1341	RIVER NIGER	TONKA	ML	16.13	-3.75	-999
1134650	1	1341	BARA-ISSA	SARAFERE	ML	15.82	-3.7	-999
1134700	1	1341	RIVER NIGER	DIRE	ML	16.2667	-3.3833	340000
1134705	1	1341	RIVER NIGER	DIRE	ML	16.26458	-3.38542	-999
1134730	1	1341	RIVER NIGER	KORYOUME	ML	16.6666	-3.0333	342000
1134850	1	1341	RIVER NIGER	TOSSAYE	ML	16.93	-0.58	348000
1134900	1	1341	RIVER NIGER	ANSONGO	ML	15.6667	0.5	566000
1147010	1	1471	CONGO RIVER	KINSHASA	CD	-4.3	15.3	3475000
1147011	1	1471	CONGO RIVER	PONTHIERVILLE	CD	-0.35	25.45	948500
1147012	1	1471	CONGO RIVER	KINDU	CD	-2.95	25.916666	810440
1147013	1	1471	CONGO RIVER	KINSHASA-EAST (LEOPOLDVILLE-EST)	CD	-4.29375	15.28125	3747320
